Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB3983-3B01;INV;11;24;9;;;;;;;;;;;;
;AB3983-3C01;INV;60;84;41;13;;;;;;;;;;;
;AB3983-3C01;PKG;30;44;1;;;;;;;;;;;;
;AB398501;INV;1;2;0;2;;;;;;;;;;;
;AB398501;PKG;18;16;1;5;5;;;;;;1;1;1;;
;AB458801;INV;;;1;;;;;;;;;;;;
;AB512201;INV;25;27;20;25;4;1;5;1;1;;;;;;
;AB518201;INV;10;5;5;;;;;;;;;;;;
;AB518601;INV;21;20;22;3;14;;2;11;;;2;2;;8;
;AB518601;PKG;97;55;99;107;140;9;10;5;10;10;16;10;17;17;
;AB519901;INV;5;7;6;;;;;;;;;;;;
;AB519901;PKG;17;8;14;;;;;;;;;;;;
;AB520101;INV;8;15;10;1;;;;;;;;;;;
;AB520101;PKG;9;15;13;;;;;;;;;;;;
;AB5335022401;INV;;;;;;;;;;;1;;;;
;AB535101;INV;15;22;38;25;14;3;2;2;;;3;9;;5;
;AB538201;INV;17;17;19;5;16;;;1;;;;;;;
;AB5385/1001;INV;23;23;22;14;24;;1;2;2;;3;;2;;
;AB5385/1401;INV;86;147;67;100;78;12;13;8;;14;;;;12;
;AB5385/1401;PKG;;;68;34;95;;;8;6;3;2;7;3;12;
;AB5385001001;INV;;-5;;;;;;;;;;;;;
;AB5385001101;INV;;;3;-3;;;;;;;;;;;
;AB538601;INV;129;154;222;205;214;;1;1;4;40;40;;2;;
;AB538601;PKG;429;387;477;345;297;4;9;8;4;;11;25;9;25;1
;AB539001;INV;74;280;111;104;35;15;4;9;;2;1;;9;3;
;AB539001;PKG;112;99;133;125;103;12;1;9;18;17;6;9;23;6;2
;AB558601;INV;;;20;2;;;;;;;4;;;;
;AB558601;PKG;2;;20;4;2;;3;;;;;;;;
;AB559001;INV;73;63;60;47;18;1;3;2;;1;;0;;1;
;AB559001;PKG;41;109;212;64;29;4;1;8;8;1;;;1;1;
;AB600001;INV;17;33;25;29;23;;2;1;;;2;;;1;
;AB600001;PKG;;;;;;;;;;;;;;2;
;AB600101;INV;10;21;16;7;18;;;;;;;1;;;
;AB600101;PKG;;;2;12;10;2;;1;;;;;;;
;AB600201;INV;27;24;31;29;7;;;6;;;;;;2;
;AB600301;INV;;;;;10;;1;1;;4;2;;;;
;AB600301;PKG;;;;;3;;3;;;;;;;;
;AB605201;INV;24;23;48;32;25;12;;;2;1;;14;4;5;
;AB605301;INV;5;3;6;2;10;;2;;;;;1;2;1;
;AB605401;INV;8;;;;;;;;;;;;;;
;AB613201;INV;17;25;25;15;14;;1;;1;;;;;1;
;AB615701;INV;16;25;32;19;12;1;2;;;;;1;;2;
;AB618601;INV;53;48;48;15;25;;2;;;;;;;;
;AB618601;PKG;8;45;59;21;27;;4;1;7;;1;;;4;
;AB623201;INV;30;36;32;12;6;;;1;;;;;;;
;AB625001;INV;20;23;23;23;5;;;;;;;;;;
;AB625501;INV;3;;;;;;;;;;;;;;
;AB629001;INV;23;45;18;30;19;1;;;2;;;4;5;;
;AB629001;PKG;13;20;22;9;14;2;3;;4;11;;;1;;
;AB638601;INV;132;121;184;178;91;25;2;;0;1;2;30;33;8;1
;AB638601;PKG;96;132;287;266;241;12;12;11;3;20;10;14;5;23;
;AB648101;INV;131;107;130;153;114;2;14;3;8;3;2;8;6;7;
;AB700101;INV;311;461;440;331;213;11;22;26;16;20;32;14;10;20;16
;AB700101;PKG;301;502;1072;527;445;14;19;26;32;53;30;24;38;33;1
;AB700201;INV;104;167;153;114;127;4;6;18;12;2;22;1;4;7;5
;AB700201;PKG;299;204;216;197;215;7;9;9;3;10;16;16;4;17;
;AB7002K01;INV;21;33;24;20;10;1;1;1;4;;;;4;;
;AB700301;INV;262;386;394;371;244;25;21;29;30;11;47;51;37;19;5
;AB700301;PKG;87;102;234;189;220;10;4;13;1;12;16;16;15;22;1
;AB7003K01;INV;23;27;31;25;13;;4;3;;;;;;2;
;AB700401;INV;498;754;829;505;357;33;20;25;19;17;30;46;37;23;2
;AB700401;PKG;408;471;755;511;343;25;23;26;33;27;10;24;21;31;2
;AB700601;INV;-3;5;5;;;;;;;;;;;;
;AB700601;PKG;10;;;;;;;;;;;;;;
;AB700701;INV;365;641;660;498;404;42;10;18;27;51;59;41;28;11;
;AB700701;PKG;379;447;718;479;305;19;18;19;31;24;7;23;20;27;2
;AB701301;INV;23;9;19;20;22;;4;;;3;;1;2;2;
;AB7013K01;INV;28;27;33;16;8;;;;;;;;;2;
;AB701401;INV;25;77;37;32;27;;;;5;3;;4;4;1;
;AB702301;INV;26;34;31;23;11;;1;1;2;0;1;;;;
;AB702301;PKG;13;20;22;9;14;2;3;;4;11;;;1;;
;AB702701;INV;21;76;32;34;20;;;;2;;;4;5;2;
;AB706301;INV;174;214;176;133;101;4;6;8;4;5;2;4;3;23;
;AB706301;PKG;23;47;99;85;85;;7;4;4;6;3;7;4;7;
;AB706501;INV;338;431;320;231;144;15;8;3;15;27;13;6;34;17;
;AB706501;PKG;19;73;80;52;61;;6;1;13;;4;3;11;4;
;AB7065S01;INV;11;2;19;18;1;;;;;;;;;;
;AB706601;INV;;10;7;9;7;;1;2;;;;;1;1;
;AB706701;INV;64;46;61;64;28;;;3;1;1;2;6;1;1;
;AB706701;PKG;;;38;15;38;5;3;;1;;1;;5;6;
;AB708001;INV;57;63;35;68;58;2;1;1;3;;;2;2;3;
;AB708001;PKG;41;46;53;49;39;5;1;3;9;2;;3;3;1;
;AB708501;INV;8;8;5;11;2;2;3;;;13;;1;;1;
;AB750001;INV;12;5;7;13;25;;;4;2;;;4;5;;
;AB750101;INV;41;16;20;42;21;;2;3;;2;;5;;4;
;AB755001;INV;;;2;4;;;;;;;;5;;;
;AB8075001001;INV;100;112;91;70;54;;9;4;1;;;3;6;12;
;AB8075001301;INV;637;1119;620;133;166;;3;15;9;;30;;;6;
;AB8075002301;INV;81;220;74;79;30;1;;;;1;;;1;4;2
;AB8075004401;INV;;1;6;4;;;;;;;;;;;
;AB8075005601;INV;6;18;-5;;2;;;;;;;;;;
;AB8075005701;INV;429;390;560;123;239;35;20;;1;9;;4;25;;
;AB8075007401;INV;13039;38524;27531;7806;4168;315;314;301;182;504;463;44;342;547;600
;AB8075008101;INV;43;103;61;41;18;;;;2;;;;;;
;AB8075008301;INV;659;287;494;392;119;;;7;29;;;;;;
;AB8075008701;INV;77;69;95;36;15;;1;;;4;;;;;
;AB8075008901;INV;176;313;281;94;152;18;;;20;;20;;;10;
;AB8075011101;INV;257;844;413;79;18;;5;;2;;;;;;
;AB8075011301;INV;26;26;3;3;;;;;;;;;;;
;AB8075011601;INV;49;19;19;71;12;;;;;;;;;;
;AB8075012501;INV;-2;;;;;;;;;;;;;;
;AB8075012601;INV;;16;;;;;;;;;;;;;
;AB8075013501;INV;179;79;44;23;2;;;;;;;;;;
;AB8075013901;INV;-14;;;;;;;;;;;;;;
;AB8075015001;INV;73;38;60;7;15;;;;;;4;2;1;;
;AB8075015901;INV;1;;;;;;;;;;;;;;
;AB8075016201;INV;;;6;;2;;;;;;;;;;
;AB8075017901;INV;419;655;665;222;265;;30;1;6;70;;28;21;67;
;AB8075018201;INV;11;44;15;17;5;;;2;;;;;1;;
;AB8075018301;INV;93;130;36;3;;;;;;;;;;;
;AB8075018601;INV;600;1100;1000;800;900;100;;100;100;;100;;;;
;AB8075018801;INV;1100;2400;1900;1700;1800;;700;100;200;;100;100;;;
;AB8075019001;INV;1;7;3;;;;;;;;;;;;
;AB8075020001;INV;24;1;11;2;1;;;;3;;;;;;
;AB8075020101;INV;9;6;9;3;;;;;;;;;;;
;AB8075020801;INV;1;;;;;;;;;;;;;;
;AB8075023701;INV;20;116;63;14;1;;;;;;;;;;
;AB8075023901;INV;6;2;4;;;;;;;;;;;;
;AB8075024201;INV;5;5;1;;;;;;;;;;;;
;AB8075025301;INV;28;27;18;-2;2;;;;;;;;;;
;AB8075-025301;INV;;;;3;7;;;;;;;;;;
;AB8075025401;INV;1;5;20;4;0;;;;;20;-19;;-1;;
;AB8075025501;INV;1;51;-4;12;10;4;;;1;;;1;;2;
;AB8075025501;PKG;6;18;16;8;;;;;;;;;;;
;AB8075025601;INV;24;11;11;;8;15;;1;;;;;;;
;AB8075025701;INV;11;54;20;6;;1;;;;7;;;;;3
;AB8075025801;INV;36;38;29;25;8;1;1;;4;;2;;1;;
;AB8075025901;INV;;;3;1;;;1;;;;;;;;
;AB8075026301;INV;;;1;;;;;;;;;;;;
;AB8075026401;INV;5;2;-2;;2;;;;;;;;;;
;AB8075026501;INV;;25;1;5;1;;;;;;;;1;;
;AB8075026601;INV;;1;6;;4;;;;;;;;;;
;AB8075026701;INV;1;14;-7;2;;1;;;;;;;;;
;AB8075026801;INV;;4;4;;;;;;;;;;;;
;AB8075026901;INV;1;;1;;;;;;;;;;;;
;AB8075027001;INV;;1;;;;;1;;;;;;;;
;AB8075027101;INV;5;28;257;49;18;;1;;;;5;4;;;
;AB8075027101;PKG;;7;8;7;2;;;;;;;;;;
;AB8075027201;INV;;;1;1;;;;;;;;;;;
;AB8075027301;INV;;5;-1;1;;;;;;;;;;2;
;AB8075027401;INV;;;1;;;;;;;;;;;;
;AB8075027501;INV;1;22;20;1;;;;;;;;;;;
;AB8075027601;INV;;3;1;;1;;;;;;;;;;
;AB8075027601;PKG;4;18;13;7;1;;;;;1;;;;;
;AB8075027701;INV;;2;4;2;;;;;;;;;;;
;AB8075027701;PKG;;6;8;4;3;;;;;;;;;;
;AB8075027901;INV;;;;;;;;;;;1;;;;
;AB8075028001;INV;;1;1;1;;;;;;;;;;;
;AB8075028101;INV;;3;2;1;2;;2;;;;;;2;;
;AB8075028201;INV;;3;1;1;;;;;;;;;;;
;AB8075028301;INV;;1;;;;;;;;;;;;;
;AB8075028401;INV;2;72;-10;18;14;;;;3;;;;;;
;AB8075028401;PKG;;37;47;9;3;;1;;;;1;;;;
;AB8075028501;INV;;15;14;3;7;;;;;;;;;;
;AB8075028601;INV;40;221;333;227;215;;4;5;3;4;;;;;
;AB8075-028601;INV;;;;45;129;;;;;;;;;;
;AB8075028701;INV;;20;26;19;38;;2;;2;;;1;5;3;
;AB8075028701;PKG;1;20;5;4;2;;;;;;;;;;
;AB8075028801;INV;;;-2;;;;;;;;;;;;
;AB8075028801;PKG;;13;2;3;;;;;;;;;;;
;AB8075028901;INV;;9;;2;1;;;;1;;;;;;
;AB8075029001;INV;;;1;;0;;;;;;;;;;
;AB8075029101;INV;;3;;5;;;;;;;;;;;
;AB8075029301;INV;;2;4;;1;;;;;;;;;;
;AB8075029401;INV;1;31;23;4;3;6;;;;;;;;;
;AB8075029501;INV;;2;1;;;;;;;;;;;;
;AB8075029501;PKG;;7;5;2;1;;;;;;;;;;
;AB8075029601;INV;;39;25;24;32;;1;17;12;5;;;17;;
;AB8075029701;INV;;7;35;5;;;;;;;;;;1;
;AB8075-029701;INV;;;;;4;;;;;;;;;;
;AB8075029801;INV;;9;21;7;;;;;;;;;;;
;AB8075029901;INV;;12;2;1;;;;;;;;;3;;
;AB8075029901;PKG;1;20;164;4;;1;;;;;;;;;
;AB8075030001;INV;;1;-2;;;;;;;;;;;;
;AB8075030001;PKG;;18;11;1;4;;;;;;;;;;
;AB8075030101;INV;1;17;14;10;2;;;;;;;1;;;
;AB8075030101;PKG;;11;5;4;;;;;;;;;;;
;AB8075030201;INV;3;1;0;0;2;;;;;;;;;;
;AB8075030201;PKG;2;8;5;5;;;;;;;;;;;
;AB8075030301;INV;1;2;6;1;;;;;;;;;;;
;AB8075030301;PKG;;15;17;7;7;;;;;;;;;;
;AB8075030401;INV;;3;;1;1;;;;;;;;;;
;AB8075030501;INV;;4;-2;;;;;;;;;;;;
;AB8075030601;INV;;1;;;1;;;;;;;;;;
;AB8075030701;INV;;5;;1;3;;;;;;;;;;
;AB8075030801;INV;;50;120;64;6;;;;;1;;;;3;
;AB8075030801;PKG;8;206;464;279;71;1;;8;7;2;;2;;;
;AB8075030901;INV;;30;71;73;29;;4;;;;;3;18;10;
;AB8075030901;PKG;33;810;959;241;178;3;2;8;46;3;3;5;1;1;
;AB8075-030901;INV;;;;59;91;;;;;;;;;;
;AB8075031001;INV;1;;;;;;;;;;;;;;
;AB8075031201;INV;;;-2;;;;;;;;;;;;
;AB8075031201;PKG;;7;5;4;;;;;;;;;;;
;AB8075031301;INV;;;1;;;;;;;;;;;;
;AB8075031501;INV;;;14;4;;;;;;;;;;;
;AB8075031501;PKG;;43;31;14;1;;;;;;;;;;
;AB8075031601;INV;10;;4;1;1;;;;;;;;;;
;AB8075031701;INV;;3;-2;;;;;;;;;;;;
;AB8075031801;INV;4;173;110;94;12;;;1;5;;;;3;;
;AB8075031801;PKG;1;379;1072;143;112;3;5;1;18;2;;;;2;
;AB8075032101;INV;;2;2;0;0;;;;;;;;;;
;AB8075032101;PKG;2;28;19;7;7;;;;;;;;;;
;AB8075032301;INV;;1;;;;;;;;;;;;;
;AB8075032501;INV;;;;;17;;;;;;;;;;
;AB8075032601;INV;;5;4;2;;;;;;;;;;;
;AB8075032701;INV;;2;7;3;;;;;;1;1;;;;
;AB8075032801;INV;;5;15;4;;;;;;;1;2;;;
;AB8075032901;INV;;5;;;;;;;;;;;;;
;AB8075033001;INV;;18;51;11;3;;;;;;;;;;
;AB8075033101;INV;;58;54;83;59;1;6;6;10;1;10;;;;
;AB8075033201;INV;;;;;15;;;;;;;;;;
;AB8075033301;INV;;;150;3;;;;;;;;;;;
;AB8075033301;PKG;;1;5;;;;;;;;;;;;
;AB8075033401;INV;;;63;23;104;40;;;;;3;;;28;
;AB8075033901;INV;;;4;19;60;;;;;1;;;11;;14
;AB8075033901;PKG;;;36;287;288;;62;6;3;6;29;41;15;43;
;AB8075034001;INV;;;;3;;;;;;;;1;;;
;AB8075034101;INV;;;;;;;;;;;;;6;;
;AB8075034301;INV;;;;2;;;;;;;;;;;
;AB8075034901;INV;;;;;9;2;;;;;1;;;2;
;AB8075035001;INV;;;;10;4;;;1;;;;1;1;;
;AB8075035201;INV;;;;199;121;;8;4;6;22;11;10;12;2;16
;AB8075035201;PKG;;;;;12;;;;2;2;;;;3;
;AB8075035401;INV;;;;;;;;;;;;;;6;
;AB8075036001;INV;;;;;;;;3;;3;5;;6;2;
;AB8075036101;INV;;;;;4;3;;;;;2;;;3;
;AB8075036601;INV;;;;;;;;;;;;10;;;
;AB80800401;INV;;;;;21;6;;1;;;;;10;;
;AB80800501;INV;;;;;30;1;;13;;;;8;;;
;AB80800601;INV;;;;;12;;8;2;;;;;;;
;AB80800701;INV;;;;;15;;;;;;;;;;
;AB80801301;INV;;;;;1;;;;;;2;;;;
;AB809201;INV;82;54;80;61;58;3;6;3;6;1;;;4;3;
;AB8108378101;INV;116;81;90;27;6;;4;;;;1;1;;;
;AB8165010101;INV;156;228;212;131;78;10;11;;31;6;2;2;;1;
;AB8168810901;INV;1247;1439;1410;653;350;;60;30;40;32;5;3;;2;13
;AB8275001501;INV;49;76;38;57;12;;6;;2;;5;2;8;2;
;AB8275003501;INV;19;5;31;36;10;;;;;;;;;;
;AB8375003201;INV;;26;;;;;;;;;;;;;
;AB8375006001;INV;840;325;118;;8;;;1;;;;1;;;
;AB8375006401;INV;116;352;1203;8;4;;2;;;;1;1;;;
;AB8375007101;INV;250;110;20;12;43;;;;2;;3;1;2;;
;AB8375008001;INV;1;10;16;7;;;;2;;5;;;;2;
;AB8375008101;INV;258;223;513;89;107;20;2;;;1;8;11;;3;4
;AB8375009101;INV;80;167;149;70;47;2;8;5;20;;2;7;10;;
;AB8375009301;INV;255;497;231;247;63;1;;;7;;;6;25;1;
;AB8375009401;INV;488;724;850;113;107;10;1;1;6;20;;30;;;
;AB8375009901;INV;6;10;3;3;2;;;;;;;;1;;
;AB8375011501;INV;87;94;35;22;3;4;;;1;1;;2;;;
;AB8375011801;INV;-5;;;;;;;;;;;;;;
;AB8375012101;INV;1166;1052;1778;501;559;15;;;6;;;;;2;
;AB8375013101;INV;321;372;440;407;571;11;17;;4;;;;;;
;AB8375013201;INV;122;162;96;94;9;;;;;;;;;;
;AB8375013501;INV;2;;;;1;;;;;;;;;;
;AB8375013901;INV;4;3;10;16;7;2;1;;;;;;;;
;AB8375015301;INV;110;;25;;;;;;;;;;;;
;AB8375015401;INV;200;345;255;300;100;;;;;;;;100;;
;AB8375015901;INV;10;;-1;2;;;;;;;;;;;
;AB8375016501;INV;14;10;10;2;1;;;;;1;;;;;
;AB8375017001;INV;;-1;-13;3;;;;;;;;;;;
;AB8375017601;INV;39;82;30;7;33;;;4;5;3;6;2;;;
;AB8375018101;INV;;-1;;;;;;;;;;;;;
;AB8375018401;INV;162;171;35;41;17;;;;;;;;;;
;AB8375019101;INV;484;400;;;;;;;;;;;;;
;AB8375019501;INV;1721;2753;1910;416;725;212;99;3;131;14;40;7;200;;20
;AB8375019701;INV;2;7;2;1;2;;1;1;1;;;;;;
;AB8375019801;INV;75;170;74;4;11;;6;;;;;;;;
;AB8375020001;INV;2782;3425;2004;568;962;200;10;5;210;2;12;200;;;
;AB8375020101;INV;152;95;166;25;44;;;2;1;;8;2;;;
;AB8375020201;INV;17;5;4;9;1;;;;;;;;1;;
;AB8375020401;INV;3;;;;;;;;;;;;;;
;AB8375020701;INV;13;10;2;10;6;;;;;;3;;;;
;AB8375020801;INV;27;5;2;3;;;;;;;;;;;
;AB8375020901;INV;7;1;;;;;;;;;;;;;
;AB8375021301;INV;275;1339;1665;26;6;;;;;;;;;;
;AB8375021401;INV;278;31;105;50;1;;;25;;;1;;;;
;AB8375021501;INV;5;5;2;7;;;;;;;;;;;
;AB8375022101;INV;125;258;247;3;102;;;;50;;;;;;
;AB8375022201;INV;;;;1;31;;;22;15;;2;14;13;5;
;AB8375022301;INV;2;19;1;15;9;;1;;;;;;;;
;AB8375022401;INV;7;57;80;157;87;4;13;;1;16;5;4;13;32;2
;AB8375022601;INV;;4;;5;41;4;;;;2;;;;6;
;AB8375022701;INV;6;213;111;58;8;1;;;;1;1;2;;;
;AB8375022801;INV;1;6;-2;;;;;;1;;;2;;;
;AB8375023001;INV;;13;12;21;5;4;;;1;;;;;;
;AB8375023101;INV;1;8;2;1;6;;;;;;;1;1;;
;AB8375023201;INV;2;213;290;234;15;5;5;2;;;10;;;1;
;AB8375023301;INV;4;15;1;1;;;;;;;;;;;
;AB8375023501;INV;8;7;11;4;4;;;;;2;2;1;;;
;AB8375023601;INV;;9;;;1;;;;;;;;;;
;AB8375023701;INV;7;62;12;14;9;1;;3;;;;;;;
;AB8375023801;INV;2;3;6;3;;;;;;;;;;;
;AB8375023901;INV;20;63;17;30;9;;4;;;1;4;;1;16;
;AB8375024001;INV;;33;76;136;41;10;;2;17;27;25;2;4;2;
;AB8375024101;INV;;8;26;6;7;;4;10;2;;2;2;;;
;AB8375024301;INV;;26;0;;1;;;;;;;2;;;
;AB8375024401;INV;;38;5;;;;;;;;;;;;
;AB8375024501;INV;;102;18;5;7;2;;;;;;1;;;
;AB8375024601;INV;;136;48;16;6;;3;;6;-2;4;4;;2;
;AB8375024901;INV;;64;57;65;52;3;;21;;5;7;;3;13;
;AB8375025001;INV;;130;142;136;93;5;21;9;15;9;4;7;7;4;
;AB8375025401;INV;;;407;307;75;3;7;18;1;6;15;8;7;6;1
;AB8375025401;PKG;;;31;42;19;4;2;;2;2;3;;;3;
;AB8375025501;INV;;;21;225;160;;;;;;;;;;
;AB8375025601;INV;;;30;2;40;;;;;;;;;;
;AB8375025901;INV;;;;286;544;;100;;;;;;;;
;AB8375026301;INV;;;;;;;;8;3;21;20;;;1;10
;AB8475006701;INV;308;426;502;77;;;;;;;;;;;
;AB8475007301;INV;190;189;86;33;6;;;;;;;;;;
;AB8475010201;INV;-1;;;;;;;;;;;;;;
;AB8475010901;INV;180;644;238;62;0;;;;1;;;;;;
;AB8475011901;INV;489;223;227;98;89;15;3;7;8;;3;3;12;6;1
;AB8475012001;INV;353;132;158;51;68;1;2;7;1;;5;4;7;4;
;AB8475012101;INV;34;84;79;26;25;2;7;4;6;2;2;1;2;3;
;AB8475012201;INV;73;98;76;12;21;;;;;2;2;;;;
;AB8475012501;INV;274;239;265;80;16;;1;;1;;;;4;;
;AB8475012501;PKG;1;;;1;;;;;;;;;;;
;AB8475012601;INV;747;1136;897;293;72;;;1;1;4;;;5;;
;AB8475012701;INV;156;138;62;33;17;;;;;;;;;;
;AB8475012701;PKG;2;;;1;;;;;;;;;;;
;AB8475012801;INV;110;133;98;66;12;;;;2;;2;;;;
;AB8475012901;INV;50;57;;;;;;;;;;;;;
;AB8475013101;INV;213;388;41;125;94;3;1;;4;26;500;5;;;
;AB8475013101;PKG;566;360;376;267;85;54;3;;21;;4;;;9;
;AB8475013501;INV;1;6;6;1;23;;;;;;;;;;
;AB8475013601;INV;4;-1;2;;2;;;;;;;;;;
;AB8475013801;INV;235;492;858;408;264;50;44;21;93;158;32;12;34;25;2
;AB8475013801;PKG;6;2;91;55;19;4;2;;2;2;3;;;3;
;AB8475013901;INV;1;3;2;22;3;1;1;;2;;;;;;
;AB8475014101;INV;117;1055;996;874;974;89;4;15;45;1;318;19;16;41;3
;AB8475014101;PKG;204;319;512;345;111;35;10;3;12;;3;;28;4;
;AB8475014201;INV;563;1114;559;1023;508;39;31;165;80;4;234;25;67;2;
;AB8475014201;PKG;48;1798;3036;740;432;19;9;9;68;8;7;5;1;3;
;AB8475014301;INV;189;654;702;362;309;87;7;8;112;11;35;72;2;36;1
;AB8475014301;PKG;74;232;301;191;106;22;1;;1;1;;34;;2;
;AB8475014401;INV;;67;185;46;49;4;1;1;2;6;;4;10;10;
;AB8475014401;PKG;;;;;70;1;;18;10;12;12;16;1;;
;AB8475014501;INV;;68;116;97;42;2;5;;;;10;5;;11;
;AB8475014501;PKG;;;;;19;1;3;;6;1;1;2;17;1;
;AB8475014601;INV;;;5;8;45;2;;;;1;23;;11;;14
;AB8475014601;PKG;;;36;287;303;;62;6;3;6;29;41;15;43;
;AB8475014901;INV;;;;;68;3;2;2;13;11;6;1;6;3;
;AB8575000601;INV;10;;;;;;;;;;;;;;
;AB8675005101;INV;246;652;306;60;-1;;;;;;;;;;
;AB8675007901;INV;197;154;199;61;33;;;;7;;;4;2;;
;AB8675007901;PKG;1;;;;;;;;;;;;;;
;AB8675009201;INV;-1;;;;;;;;;;;;;;
;AB8675009301;INV;1;;;;;;;;;;;;;;
;AB8675009401;INV;9;;;;;;;;;;;;;;
;AB8675009501;INV;10;;;;;;;;;;;;;;
;AB8675009601;INV;18;;;;;;;;;;;;;;
;AB8675009701;INV;0;-3;1;;;;;;;;;;;;
;AB8675009801;INV;200;150;173;;;;;;;;;;;;
;AB8675010401;INV;2;2;;;;;;;;;;;;;
;AB8675010601;INV;-1;;;;;;;;;;;;;;
;AB8675010701;INV;1;;;;;;;;;;;;;;
;AB8675010901;INV;2290;2803;2124;1081;951;21;32;;2;27;1023;12;;4;
;AB8675010901;PKG;420;288;318;252;78;54;3;;21;;3;;;9;
;AB8675011501;INV;382;1021;1907;1319;;;;;;;;;;;
;AB8675011501;PKG;;;;1;;;;;;;;;;;
;AB8675011601;INV;127;460;355;260;;;;;;;;;;;
;AB8675012501;INV;3050;4972;3459;767;530;49;3;25;153;331;267;14;143;267;
;AB8675012501;PKG;4;17;9;4;10;2;1;1;;;;;;;
;AB8675012601;INV;182;470;343;27;-33;20;2;8;44;67;18;6;4;2;
;AB8675012601;PKG;4;;;2;;;;;;;;;;;
;AB8675012701;INV;1379;1928;2975;710;1135;54;63;146;95;395;142;54;118;136;
;AB8675012701;PKG;4;13;12;9;8;1;;;;;;;;;
;AB8675012801;INV;124;376;317;208;132;115;;14;59;50;70;122;45;19;
;AB8675012801;PKG;;1;;;;;;;;;;;;;
;AB8675013101;INV;3602;2681;3273;1707;1861;889;-125;83;116;15;1;1;207;478;6
;AB8675013101;PKG;188;289;443;785;130;40;20;4;2;;;;58;8;
;AB8675013201;INV;671;834;799;433;371;43;4;18;31;14;6;1;204;6;
;AB8675013201;PKG;47;159;267;100;88;44;2;;;;;2;;8;
;AB8675013701;INV;1052;826;2538;728;987;196;63;48;44;12;;;417;42;
;AB8675013701;PKG;29;3;14;7;84;36;;;;;;;12;;
;AB8675013801;INV;524;437;661;341;193;4;;-2;;1;;;71;0;
;AB8675013801;PKG;;;;;56;;4;;;;;;6;;
;AB8675015501;INV;181;195;1410;763;432;;51;;19;125;88;8;-4;26;12
;AB8675015501;PKG;;;;;16;;;;8;4;;;;;
;AB8675015601;INV;-93;362;629;491;626;127;-59;-1;65;40;23;30;6;36;16
;AB8675015601;PKG;14;40;420;237;60;17;8;1;;4;12;1;;12;
;AB8675015701;INV;1057;840;1185;630;33;4;;;;;;;;;
;AB8675015701;PKG;;;1;10;1;;;;;;;;;;
;AB8675015801;INV;265;452;382;418;;;;;;;;;;;
;AB8675015901;INV;509;678;796;751;449;;;33;17;11;80;;37;;
;AB8675015901;PKG;51;18;4;2;9;;;1;;;;;;;
;AB8675016001;INV;196;388;302;253;370;4;2;1;2;10;35;;50;9;
;AB8675016001;PKG;3;1;;;;;;;;;;;;;
;AB8675016101;INV;255;311;277;1;2;;;;4;;;;;;
;AB8675016101;PKG;232;180;208;;;;;;;;;;;;
;AB8675016201;INV;322;234;108;32;;;;;;;;;;;
;AB8675016201;PKG;104;210;96;4;;;;;;;;;;;
;AB8675016301;INV;92;478;289;187;95;36;7;2;11;8;38;;13;;
;AB8675016401;INV;119;570;858;667;804;549;-494;38;16;;9;21;36;82;
;AB8675016401;PKG;;110;174;54;122;16;;2;54;48;4;24;4;;
;AB8675016501;INV;76;342;685;792;478;32;4;142;10;;193;5;123;191;
;AB8675016501;PKG;;74;212;155;222;;;74;8;;50;40;;;
;AB8675016601;INV;105;423;171;141;64;;;12;7;;;2;4;6;
;AB8675016701;INV;170;700;711;627;436;161;-116;31;10;15;32;13;8;63;2
;AB8675016701;PKG;;72;120;118;58;4;8;;24;6;;14;44;;
;AB8675016801;INV;177;393;792;423;376;158;-1;;21;54;5;8;83;65;
;AB8675016801;PKG;;30;122;160;98;;;;2;;4;60;;4;
;AB8675016901;INV;179;573;412;242;537;300;-300;;2;0;2;2;;1;
;AB8675016901;PKG;48;1796;3035;745;433;19;9;9;68;8;7;5;1;3;
;AB8675017401;INV;;;7;13;8;;;;;;;;17;;
;AB8675017401;PKG;;;36;287;223;;62;;3;6;12;41;15;42;
;AB8675017501;INV;;;;;1;;;;;;;;;20;
;AB8675017501;PKG;;;;;16;;;6;;;2;;;1;
;AB8675017901;INV;;;;;44;;;;;;;;;;
;AB8675017901;PKG;;;;;64;;;;;;15;;;;
;AB867601;INV;4;8;5;2;;;;;;;1;1;1;119;
;AB867601;PKG;101;206;122;97;23;2;6;4;15;2;7;16;15;;
;AB869001;INV;27;6;5;5;4;;;;;;1;1;1;;
;AB8875000101;INV;;;;;5;;;;;;;1;;;
;AB8875000501;INV;;;;1;2;2;;;;;;;;;
;AB8875000701;INV;;;;;;;;12;7;5;4;26;17;3;1
;AB8875000801;INV;;;;;;2;;7;;4;6;4;5;;
;AB8875000901;INV;;;;;;5;;11;14;2;4;1;2;6;2
;AB90016801;INV;;;;;8;;;;;;;;;;
;AB90017501;INV;;;;;24;;11;54;;40;;;;;
;AB90021101;INV;;;;;6;;;;;;;;;;
;AB90021401;INV;;;;;4;;;;;;2;;;;
;AB90021501;INV;;;;;10;;;;;;;;2;;
;AB90023901;INV;;;;;1;23;;14;;8;;;;;
;AB900-350701;INV;739;1233;750;526;672;39;;163;62;2;20;68;26;84;
;AB900-350701;PKG;632;794;611;520;284;;;;;33;131;104;38;23;
