Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB17930001;INV;;;;;4;1;;8;;;;;;;
;AB17990001;INV;;;;;1;;;;;;;;;;
;AB18030001;INV;;;;;8;;;;;;;;;;
;AB181101;INV;233;234;227;231;115;9;3;5;1;7;5;2;12;4;
;AB181101;PKG;613;768;823;514;562;1;84;32;20;25;33;42;26;29;13
;AB18270001;INV;;;;;3;;;;2;;;;;;
;AB191001;INV;6;9;10;12;1;;;;;;;;;;
;AB191001;PKG;16;16;40;18;5;;;;;;;;;;
;AB191101;INV;;;;;12;;3;1;;1;1;2;1;1;
;AB191101;PKG;;;;;51;;3;1;6;6;7;8;3;14;
;AB19130001;INV;;;;69;193;50;;17;46;;;;;;
;AB19140001;INV;;;;68;379;153;60;;;;;;;;
;AB19580001;INV;;;;6;8;;;;;;;;;;
;AB201001;INV;128;201;135;108;87;6;6;;;1;;-1;;8;
;AB201001;PKG;144;201;319;153;88;16;1;16;20;14;;1;22;4;2
;AB20180001;INV;;;;;;;;;;;;7;;;
;AB20770001;INV;;;;15;57;;4;2;;;;10;10;;
;AB208700-RIGHTANGLE01;INV;;;;3;20;;;;;;;;;;
;AB208800-RIGHTANGLE01;INV;;;;14;28;;;;;;;;;;
;AB208800-STRAIGHT01;INV;;;;;1;;;;;;;;;;
;AB20900001;INV;;;;6;8;;;;;;;;;;
;AB20910001;INV;;;;;25;;2;;4;3;;;;;
;AB20920001;INV;;;;;10;;;;;;;;;;
;AB20930001;INV;;;;;16;;;;;;;;;;
;AB20960001;INV;;;;;12;;;;;2;5;5;;10;
;AB20980001;INV;;;;;;;;;;;10;;;;
;AB21230001;INV;;;;18;60;;11;25;11;1;;;;;
;AB21380001;INV;;;;8;9;;;;;;;;;;
;AB21390001;INV;;;;;4;;;;;;;;;;
;AB21620001;INV;;;;53;84;;;;;;;;;;
;AB21750001;INV;;;;6;5;;;;;;;;;;
;AB21820001;INV;;;;3;1;;;;;;;;;;
;AB21950001;INV;;;;;8;;1;;;;2;;5;;
;AB22020001;INV;;;;;7;;;;;2;;3;;;
;AB22030001;INV;;;;;21;9;;;;;;;;;
;AB22060001;INV;;;;3;6;;;;;;2;3;;;
;AB22080001;INV;;;;3;4;;;;;;;;;;
;AB22110001;INV;;;;;24;;;;;;;;;;
;AB22120001;INV;;;;11;16;;;;;;;;;;
;AB22130001;INV;;;;11;11;;;;;;;;;;
;AB22140001;INV;;;;;2;;;;;;;;;;
;AB22150001;INV;;;;;1;;;;;;;;;;
;AB22160001;INV;;;;;2;;;;;;;;;;
;AB22170001;INV;;;;6;10;;;;;;;;;;
;AB22180001;INV;;;;3;7;;;;;;;;;;
;AB22190001;INV;;;;;3;;;;;;;;;;
;AB22220001;INV;;;;;;;;;;;21;;;20;
;AB22310001;INV;;;;53;156;;;;;;;;40;;
;AB22320001;INV;;;;;69;;;;;;;10;;;
;AB22330001;INV;;;;6;35;;;2;7;;;;;;
;AB22340001;INV;;;;36;76;;55;;3;12;;;8;2;
;AB22740001;INV;;;;;1;;;;;;;;;;
;AB22770001;INV;;;;6;18;;;;;;;2;3;;
;AB22780001;INV;;;;15;22;;;12;;13;;1;;;
;AB22800001;INV;;;;;7;;;2;;;;;;;
;AB22900001;INV;;;;76;135;;;14;38;11;;20;;;
;AB22910001;INV;;;;45;47;;;;;8;8;;;;
;AB22940001;INV;;;;3;8;;;;;;;;;;
;AB22950001;INV;;;;26;60;;;14;12;;1;;;;
;AB22980001;INV;;;;;5;;;;2;2;;;;;
;AB23050001;INV;;;;3;28;;;;1;;;;;;
;AB23090001;INV;;;;6;18;;;;;;;;;;
;AB23100001;INV;;;;97;593;;68;5;;111;;130;;;
;AB23120001;INV;;;;57;49;;;;;;;;;;
;AB23130001;INV;;;;22;27;;;;;;;20;;;
;AB23250001;INV;;;;;29;;;;;;;;;;
;AB23290001;INV;;;;;;;;;;;;39;1;5;
;AB23340001;INV;;;;61;69;;;;;;;14;1;;
;AB23350001;INV;;;;;1;;;;;;;;;;
;AB23380001;INV;;;;11;13;;;;;;;;;;
;AB23390001;INV;;;;;13;;;;;;;;;;
;AB23400001;INV;;;;;12;;;;;;;;;;
;AB23950001;INV;;;;;6;;;;;;;;;;
;AB23960001;INV;;;;;3;2;;;;;;2;3;;
;AB24050001;INV;;;;;17;;;;;;;;;;
;AB24280001;INV;;;;;;;;;;;4;;;;
;AB24570001;INV;;;;3;34;;;7;;;;;;;
;AB24820001;INV;;;;;1;;;;;;;;;;
;AB24830001;INV;;;;;1;;;;;;;;;;
;AB24840001;INV;;;;;4;;;;;;;;;;
;AB24880001;INV;;;;6;3;;;;;;;;;;
